Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Banumbirr Vallis,Venus,400.00,-7.00,4.00,"Vallis, valles",1997,Arnhemland word for planet Venus.
Ban Zhao,Venus,39.00,17.10,147.00,"Crater, craters",1991,Chinese historian (c. A.D. 35-100).
Baranamtarra,Venus,25.50,17.90,267.80,"Crater, craters",1994,Mesopotamian queen (c. 2500 B.C.).
Barauka,Venus,12.90,10.60,346.30,"Crater, craters",1997,Hausa (Nigeria) first name.
Barbale Dorsa,Venus,1200.00,15.00,143.00,"Dorsum, dorsa",1997,Georgian sun goddess.
Barnes Patera,Venus,15.00,-15.50,229.20,"Patera, paterae",2003,Florence Lowe “;Pancho“;; American aviatrix (1901-1975).
Barrera,Venus,27.00,16.60,109.40,"Crater, craters",1991,Olivia; Spanish medical writer (b. 1562).
Barrymore,Venus,56.60,-52.30,195.70,"Crater, craters",1994,Ethel; American actress (1879-1959).
Barsova,Venus,76.00,61.30,223.00,"Crater, craters",1985,Valeria; Soviet singer (1892-1967).
Barto,Venus,48.00,45.30,146.30,"Crater, craters",1985,Agniya; Soviet poetess (1906-1981).
Barton,Venus,52.20,27.40,337.50,"Crater, craters",1991,Clara; American Red Cross founder (1821-1912).
Bascom,Venus,34.60,-10.40,302.20,"Crater, craters",1994,Florence; American geologist (1862-1945).
Bashkirtseff,Venus,36.20,14.70,194.00,"Crater, craters",1994,"Marie; Russian painter, diarist (c. 1859-1884)."
Bassi,Venus,31.00,-19.00,64.60,"Crater, craters",1991,"Laura; Italian physicist, mathematician (1711-1778)."
Bastryk Vallis,Venus,190.00,-7.50,347.50,"Vallis, valles",2000,Kumyk (Daghestan) river deity.
Bast Tholus,Venus,83.00,57.80,130.30,"Tholus, tholi",1985,Egyptian goddess of joy.
Bathkol Tessera,Venus,1485.00,61.00,200.00,"Tessera, tesserae",1997,Israeli goddess of fate.
Bathsheba,Venus,32.30,-15.10,49.50,"Crater, craters",1994,Hebrew queen (c. 1030 B.C.).
Batten,Venus,65.00,15.20,217.40,"Crater, craters",2000,Jean; New Zealand aviatrix (1909-1982).
Batya,Venus,9.30,72.70,235.40,"Crater, craters",1997,Hebrew first name.
Bau Corona,Venus,355.00,52.80,259.30,"Corona, coronae",1991,Sumerian fertility goddess.
Bayara Vallis,Venus,500.00,45.60,16.50,"Vallis, valles",1994,Dogon (Mali) word for planet Venus.
Bécuma Mons,Venus,0.00,34.00,21.90,"Mons, montes",1991,Irish dawn goddess.
Beecher,Venus,40.40,13.00,253.40,"Crater, craters",1994,"Catherine; American educator, author (1800-1878)."
Behn,Venus,25.40,-32.40,142.00,"Crater, craters",1991,"Aphra; English novelist, poet, playwright (1640-1689)."
Beiwe Corona,Venus,600.00,52.60,306.50,"Corona, coronae",1994,Saami (Lapp) fertility goddess.
Belet-Ili Corona,Venus,300.00,6.00,20.00,"Corona, coronae",1994,Mesopotamian nature/fertility goddess.
Belisama Vallis,Venus,220.00,50.00,22.50,"Vallis, valles",1994,English Celtic river goddess.
Bellona Fossae,Venus,855.00,38.00,222.10,"Fossa, fossae",1985,"Roman war goddess, wife of Mars."
Bell Regio,Venus,1778.00,32.80,51.40,"Regio, regiones",1982,English giantess.
Bender,Venus,39.80,-13.00,327.40,"Crater, craters",1997,Heidi Julia; American author and artist (1979-1991).
Ben Dorsa,Venus,628.00,71.20,284.10,"Dorsum, dorsa",1985,Vietnamese sky goddess.
Bennu Vallis,Venus,710.00,1.30,341.20,"Vallis, valles",1994,Egyptian word for planet Venus.
Benten Corona,Venus,310.00,16.00,340.00,"Corona, coronae",1994,Japanese love/fertility goddess.
Benzozia Corona,Venus,185.00,27.50,204.50,"Corona, coronae",2006,Basque mother goddess.
Bereghinya Planitia,Venus,3900.00,28.60,23.60,"Planitia, planitiae",1985,Slavic water spirit.
Berggolts,Venus,29.50,-63.50,53.00,"Crater, craters",1994,Olga; Russian poet (1910-1975).
Bernadette,Venus,12.80,-46.60,285.60,"Crater, craters",1994,French first name.
Bernhardt,Venus,25.30,31.60,84.40,"Crater, craters",1985,Sarah; French actress (1844-1923).
Bernice,Venus,12.60,-40.70,14.80,"Crater, craters",1997,Greek first name.
Bers Patera,Venus,17.00,-66.70,183.00,"Patera, paterae",2000,Sofya Andreyevna (Tolstaya); wife and copyist for Leo Tolstoy (1844-1919).
Berta,Venus,20.00,62.00,322.00,"Crater, craters",1985,Finnish first name.
Beruth Corona,Venus,350.00,-19.00,233.50,"Corona, coronae",1994,Phoenician earth goddess.
Beta Regio,Venus,2869.00,25.30,282.80,"Regio, regiones",1979,Second letter in Greek alphabet.
